00:53:17.734 [ i ] ## Proceso Creado - PID: < 2 > - Tamaño: < 16 > 	 ->createProcess.go:89
00:53:17.784 [ - ] Request recibida de: 127.0.0.1:56780 	 ->getContext.go:22
00:53:17.784 [ - ] Contexto a buscar - (PID:TID) - (0,0) 	 ->getContext.go:28
00:53:17.784 [ - ] Contexto hayado: {0 16 4 10 1 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:17.784 [ i ] Contexto Solicitado - (PID:TID) - (0,0) 	 ->getContext.go:60
00:53:17.835 [ - ] Request recibida de: 127.0.0.1:56780 	 ->getInstruction.go:22
00:53:17.835 [ i ] ## Obtener instrucción - (PID:TID) - (0:0) - Instrucción: PROCESS_CREATE MEM_FIJA_BASE 12 0 	 ->getInstruction.go:48
00:53:17.886 [ - ] Request recibida de: 127.0.0.1:56792 	 ->createProcess.go:20
00:53:17.886 [ - ] MinSize inical: 8144 	 ->Best.go:20
00:53:17.886 [ - ] Particion encontrada: &{48 8192 false 0} 	 ->Best.go:30
00:53:17.886 [ - ] # Request recibida de: 127.0.0.1:56780 	 ->saveContext.go:21
00:53:17.886 [ - ] Particion encontrada: &{48 8192 false 0} 	 ->Dinamicas.go:30
00:53:17.886 [ - ] Contexto guardado exitosamente: {0 16 5 10 1 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:17.886 [ - ] Nuevas particiones: [{48 60 true 3} {60 8192 false 0}] 	 ->Dinamicas.go:64
00:53:17.886 [ i ] ## Contexto Actualizado - (PID:TID) - (0:0) 	 ->saveContext.go:70
00:53:17.886 [ - ] Particiones antes de agregar: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 8192 false 0}] 	 ->Dinamicas.go:65
00:53:17.886 [ - ] Particiones luego de agregar las nuevas: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 8192 false 0}] 	 ->Dinamicas.go:70
00:53:17.886 [ - ] Se fracciono la particion Base: 48 Limite: 8192  	 ->Dinamicas.go:71
00:53:17.886 [ - ] Se asigno el proceso PID: < 3 > a la particion Base: 48 Limite 60 	 ->Dinamicas.go:82
00:53:17.886 [ i ] Particiones: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 8192 false 0}] 	 ->Dinamicas.go:83
00:53:17.886 [ i ] Contexto creado para el hilo - (PID:TID): (3, 0): {48 12 0 0 0 0 0 0 0 0 0} 	 ->createProcess.go:86
00:53:17.886 [ i ] ## Proceso Creado - PID: < 3 > - Tamaño: < 12 > 	 ->createProcess.go:89
00:53:17.936 [ - ] Request recibida de: 127.0.0.1:56802 	 ->getContext.go:22
00:53:17.936 [ - ] Contexto a buscar - (PID:TID) - (0,0) 	 ->getContext.go:28
00:53:17.936 [ - ] Contexto hayado: {0 16 5 10 1 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:17.936 [ i ] Contexto Solicitado - (PID:TID) - (0,0) 	 ->getContext.go:60
00:53:17.987 [ - ] Request recibida de: 127.0.0.1:56802 	 ->getInstruction.go:22
00:53:17.987 [ i ] ## Obtener instrucción - (PID:TID) - (0:0) - Instrucción: PROCESS_CREATE MEM_DINAMICA_BASE 128 0 	 ->getInstruction.go:48
00:53:18.037 [ - ] Request recibida de: 127.0.0.1:56812 	 ->createProcess.go:20
00:53:18.038 [ - ] MinSize inical: 8132 	 ->Best.go:20
00:53:18.038 [ - ] Particion encontrada: &{60 8192 false 0} 	 ->Best.go:30
00:53:18.038 [ - ] Particion encontrada: &{60 8192 false 0} 	 ->Dinamicas.go:30
00:53:18.038 [ - ] Nuevas particiones: [{60 188 true 4} {188 8192 false 0}] 	 ->Dinamicas.go:64
00:53:18.038 [ - ] Particiones antes de agregar: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 8192 false 0}] 	 ->Dinamicas.go:65
00:53:18.038 [ - ] # Request recibida de: 127.0.0.1:56802 	 ->saveContext.go:21
00:53:18.038 [ - ] Particiones luego de agregar las nuevas: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 8192 false 0}] 	 ->Dinamicas.go:70
00:53:18.038 [ - ] Se fracciono la particion Base: 60 Limite: 188  	 ->Dinamicas.go:71
00:53:18.038 [ - ] Se asigno el proceso PID: < 4 > a la particion Base: 60 Limite 188 	 ->Dinamicas.go:82
00:53:18.038 [ - ] Contexto guardado exitosamente: {0 16 6 10 1 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:18.038 [ i ] Particiones: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 8192 false 0}] 	 ->Dinamicas.go:83
00:53:18.038 [ i ] ## Contexto Actualizado - (PID:TID) - (0:0) 	 ->saveContext.go:70
00:53:18.038 [ i ] Contexto creado para el hilo - (PID:TID): (4, 0): {60 128 0 0 0 0 0 0 0 0 0} 	 ->createProcess.go:86
00:53:18.038 [ i ] ## Proceso Creado - PID: < 4 > - Tamaño: < 128 > 	 ->createProcess.go:89
00:53:18.088 [ - ] Request recibida de: 127.0.0.1:56818 	 ->getContext.go:22
00:53:18.088 [ - ] Contexto a buscar - (PID:TID) - (0,0) 	 ->getContext.go:28
00:53:18.088 [ - ] Contexto hayado: {0 16 6 10 1 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:18.088 [ i ] Contexto Solicitado - (PID:TID) - (0,0) 	 ->getContext.go:60
00:53:18.139 [ - ] # Request recibida de: 127.0.0.1:56818 	 ->saveContext.go:21
00:53:18.139 [ - ] Contexto guardado exitosamente: {0 16 6 10 1 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:18.139 [ i ] ## Contexto Actualizado - (PID:TID) - (0:0) 	 ->saveContext.go:70
00:53:18.189 [ - ] Request recibida de: 127.0.0.1:56820 	 ->getContext.go:22
00:53:18.189 [ - ] Contexto a buscar - (PID:TID) - (1,0) 	 ->getContext.go:28
00:53:18.189 [ - ] Contexto hayado: {16 16 3 1 0 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:18.189 [ i ] Contexto Solicitado - (PID:TID) - (1,0) 	 ->getContext.go:60
00:53:18.240 [ - ] Request recibida de: 127.0.0.1:56820 	 ->getInstruction.go:22
00:53:18.240 [ i ] ## Obtener instrucción - (PID:TID) - (1:0) - Instrucción: SUM DX AX 	 ->getInstruction.go:48
00:53:18.290 [ - ] Request recibida de: 127.0.0.1:56820 	 ->getInstruction.go:22
00:53:18.290 [ i ] ## Obtener instrucción - (PID:TID) - (1:0) - Instrucción: THREAD_CREATE PLANI_THREAD 5 	 ->getInstruction.go:48
00:53:18.341 [ - ] Request recibida de: 127.0.0.1:56828 	 ->createThread.go:20
00:53:18.341 [ i ] ## Hilo Creado - (PID:TID) - (1,2) 	 ->createThread.go:39
00:53:18.341 [ i ] Contexto creado para el hilo - (PID:TID): (1, 2) 	 ->createThread.go:51
00:53:18.341 [ - ] # Request recibida de: 127.0.0.1:56820 	 ->saveContext.go:21
00:53:18.341 [ - ] Contexto guardado exitosamente: {16 16 5 1 0 0 1 0 0 0 0} 	 ->saveContext.go:59
00:53:18.341 [ i ] ## Contexto Actualizado - (PID:TID) - (1:0) 	 ->saveContext.go:70
00:53:18.392 [ - ] Request recibida de: 127.0.0.1:56838 	 ->getContext.go:22
00:53:18.392 [ - ] Contexto a buscar - (PID:TID) - (1,0) 	 ->getContext.go:28
00:53:18.392 [ - ] Contexto hayado: {16 16 5 1 0 0 1 0 0 0 0} 	 ->getContext.go:48
00:53:18.392 [ i ] Contexto Solicitado - (PID:TID) - (1,0) 	 ->getContext.go:60
00:53:18.442 [ - ] Request recibida de: 127.0.0.1:56838 	 ->getInstruction.go:22
00:53:18.442 [ i ] ## Obtener instrucción - (PID:TID) - (1:0) - Instrucción: SUM DX AX 	 ->getInstruction.go:48
00:53:18.493 [ - ] Request recibida de: 127.0.0.1:56838 	 ->getInstruction.go:22
00:53:18.493 [ i ] ## Obtener instrucción - (PID:TID) - (1:0) - Instrucción: THREAD_CREATE PLANI_THREAD 5 	 ->getInstruction.go:48
00:53:18.543 [ - ] Request recibida de: 127.0.0.1:56852 	 ->createThread.go:20
00:53:18.543 [ i ] ## Hilo Creado - (PID:TID) - (1,3) 	 ->createThread.go:39
00:53:18.543 [ i ] Contexto creado para el hilo - (PID:TID): (1, 3) 	 ->createThread.go:51
00:53:18.544 [ - ] # Request recibida de: 127.0.0.1:56838 	 ->saveContext.go:21
00:53:18.544 [ - ] Contexto guardado exitosamente: {16 16 7 1 0 0 2 0 0 0 0} 	 ->saveContext.go:59
00:53:18.544 [ i ] ## Contexto Actualizado - (PID:TID) - (1:0) 	 ->saveContext.go:70
00:53:18.594 [ - ] Request recibida de: 127.0.0.1:56854 	 ->getContext.go:22
00:53:18.594 [ - ] Contexto a buscar - (PID:TID) - (1,0) 	 ->getContext.go:28
00:53:18.594 [ - ] Contexto hayado: {16 16 7 1 0 0 2 0 0 0 0} 	 ->getContext.go:48
00:53:18.594 [ i ] Contexto Solicitado - (PID:TID) - (1,0) 	 ->getContext.go:60
00:53:18.645 [ - ] # Request recibida de: 127.0.0.1:56854 	 ->saveContext.go:21
00:53:18.645 [ - ] Contexto guardado exitosamente: {16 16 7 1 0 0 2 0 0 0 0} 	 ->saveContext.go:59
00:53:18.645 [ i ] ## Contexto Actualizado - (PID:TID) - (1:0) 	 ->saveContext.go:70
00:53:18.696 [ - ] Request recibida de: 127.0.0.1:56856 	 ->getContext.go:22
00:53:18.696 [ - ] Contexto a buscar - (PID:TID) - (2,0) 	 ->getContext.go:28
00:53:18.696 [ - ] Contexto hayado: {32 16 0 0 0 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:18.696 [ i ] Contexto Solicitado - (PID:TID) - (2,0) 	 ->getContext.go:60
00:53:18.746 [ - ] Request recibida de: 127.0.0.1:56856 	 ->getInstruction.go:22
00:53:18.746 [ i ] ## Obtener instrucción - (PID:TID) - (2:0) - Instrucción: SET DX 0 	 ->getInstruction.go:48
00:53:18.796 [ - ] Request recibida de: 127.0.0.1:56856 	 ->getInstruction.go:22
00:53:18.796 [ i ] ## Obtener instrucción - (PID:TID) - (2:0) - Instrucción: SET AX 14 	 ->getInstruction.go:48
00:53:18.847 [ - ] Request recibida de: 127.0.0.1:56856 	 ->getInstruction.go:22
00:53:18.847 [ i ] ## Obtener instrucción - (PID:TID) - (2:0) - Instrucción: WRITE_MEM AX DX 	 ->getInstruction.go:48
00:53:18.897 [ - ] Request recibida de: 127.0.0.1:56856 	 ->writeMemory.go:22
00:53:18.897 [ i ] ## Escritura - (PID:TID) - (0:2) - Dir.Física: 46 - Tamaño: 4 bytes 	 ->writeMemory.go:30
00:53:18.947 [ - ] Request recibida de: 127.0.0.1:56856 	 ->getInstruction.go:22
00:53:18.947 [ i ] ## Obtener instrucción - (PID:TID) - (2:0) - Instrucción: PROCESS_CREATE RECURSOS_RACE_PROC 16 4 	 ->getInstruction.go:48
00:53:18.998 [ - ] Request recibida de: 127.0.0.1:56872 	 ->createProcess.go:20
00:53:18.998 [ - ] MinSize inical: 8004 	 ->Best.go:20
00:53:18.998 [ - ] Particion encontrada: &{188 8192 false 0} 	 ->Best.go:30
00:53:18.998 [ - ] Particion encontrada: &{188 8192 false 0} 	 ->Dinamicas.go:30
00:53:18.998 [ - ] Nuevas particiones: [{188 204 true 5} {204 8192 false 0}] 	 ->Dinamicas.go:64
00:53:18.998 [ - ] Particiones antes de agregar: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 8192 false 0}] 	 ->Dinamicas.go:65
00:53:18.998 [ - ] Particiones luego de agregar las nuevas: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 204 true 5} {204 8192 false 0}] 	 ->Dinamicas.go:70
00:53:18.998 [ - ] # Request recibida de: 127.0.0.1:56856 	 ->saveContext.go:21
00:53:18.998 [ - ] Se fracciono la particion Base: 188 Limite: 204  	 ->Dinamicas.go:71
00:53:18.998 [ - ] Se asigno el proceso PID: < 5 > a la particion Base: 188 Limite 204 	 ->Dinamicas.go:82
00:53:18.998 [ - ] Contexto guardado exitosamente: {32 16 4 14 0 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:18.998 [ i ] ## Contexto Actualizado - (PID:TID) - (2:0) 	 ->saveContext.go:70
00:53:18.998 [ i ] Particiones: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 204 true 5} {204 8192 false 0}] 	 ->Dinamicas.go:83
00:53:18.998 [ i ] Contexto creado para el hilo - (PID:TID): (5, 0): {188 16 0 0 0 0 0 0 0 0 0} 	 ->createProcess.go:86
00:53:18.998 [ i ] ## Proceso Creado - PID: < 5 > - Tamaño: < 16 > 	 ->createProcess.go:89
00:53:19.049 [ - ] Request recibida de: 127.0.0.1:56884 	 ->getContext.go:22
00:53:19.049 [ - ] Contexto a buscar - (PID:TID) - (2,0) 	 ->getContext.go:28
00:53:19.049 [ - ] Contexto hayado: {32 16 4 14 0 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:19.049 [ i ] Contexto Solicitado - (PID:TID) - (2,0) 	 ->getContext.go:60
00:53:19.099 [ - ] # Request recibida de: 127.0.0.1:56884 	 ->saveContext.go:21
00:53:19.099 [ - ] Contexto guardado exitosamente: {32 16 4 14 0 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:19.099 [ i ] ## Contexto Actualizado - (PID:TID) - (2:0) 	 ->saveContext.go:70
00:53:19.150 [ - ] Request recibida de: 127.0.0.1:56890 	 ->getContext.go:22
00:53:19.150 [ - ] Contexto a buscar - (PID:TID) - (3,0) 	 ->getContext.go:28
00:53:19.150 [ - ] Contexto hayado: {48 12 0 0 0 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:19.150 [ i ] Contexto Solicitado - (PID:TID) - (3,0) 	 ->getContext.go:60
00:53:19.200 [ - ] Request recibida de: 127.0.0.1:56890 	 ->getInstruction.go:22
00:53:19.200 [ i ] ## Obtener instrucción - (PID:TID) - (3:0) - Instrucción: PROCESS_CREATE MEM_FIJAS 8 0 	 ->getInstruction.go:48
00:53:19.251 [ - ] Request recibida de: 127.0.0.1:56894 	 ->createProcess.go:20
00:53:19.251 [ - ] MinSize inical: 7988 	 ->Best.go:20
00:53:19.251 [ - ] Particion encontrada: &{204 8192 false 0} 	 ->Best.go:30
00:53:19.251 [ - ] Particion encontrada: &{204 8192 false 0} 	 ->Dinamicas.go:30
00:53:19.251 [ - ] Nuevas particiones: [{204 212 true 6} {212 8192 false 0}] 	 ->Dinamicas.go:64
00:53:19.251 [ - ] Particiones antes de agregar: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 204 true 5} {204 8192 false 0}] 	 ->Dinamicas.go:65
00:53:19.251 [ - ] Particiones luego de agregar las nuevas: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 204 true 5} {204 212 true 6} {212 8192 false 0}] 	 ->Dinamicas.go:70
00:53:19.251 [ - ] Se fracciono la particion Base: 204 Limite: 212  	 ->Dinamicas.go:71
00:53:19.251 [ - ] Se asigno el proceso PID: < 6 > a la particion Base: 204 Limite 212 	 ->Dinamicas.go:82
00:53:19.251 [ i ] Particiones: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 204 true 5} {204 212 true 6} {212 8192 false 0}] 	 ->Dinamicas.go:83
00:53:19.251 [ i ] Contexto creado para el hilo - (PID:TID): (6, 0): {204 8 0 0 0 0 0 0 0 0 0} 	 ->createProcess.go:86
00:53:19.251 [ i ] ## Proceso Creado - PID: < 6 > - Tamaño: < 8 > 	 ->createProcess.go:89
00:53:19.251 [ - ] # Request recibida de: 127.0.0.1:56890 	 ->saveContext.go:21
00:53:19.251 [ - ] Contexto guardado exitosamente: {48 12 1 0 0 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:19.251 [ i ] ## Contexto Actualizado - (PID:TID) - (3:0) 	 ->saveContext.go:70
00:53:19.302 [ - ] Request recibida de: 127.0.0.1:56898 	 ->getContext.go:22
00:53:19.302 [ - ] Contexto a buscar - (PID:TID) - (3,0) 	 ->getContext.go:28
00:53:19.302 [ - ] Contexto hayado: {48 12 1 0 0 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:19.302 [ i ] Contexto Solicitado - (PID:TID) - (3,0) 	 ->getContext.go:60
00:53:19.352 [ - ] Request recibida de: 127.0.0.1:56898 	 ->getInstruction.go:22
00:53:19.352 [ i ] ## Obtener instrucción - (PID:TID) - (3:0) - Instrucción: PROCESS_CREATE MEM_FIJAS 48 0 	 ->getInstruction.go:48
00:53:19.403 [ - ] Request recibida de: 127.0.0.1:56910 	 ->createProcess.go:20
00:53:19.403 [ - ] MinSize inical: 7980 	 ->Best.go:20
00:53:19.403 [ - ] Particion encontrada: &{212 8192 false 0} 	 ->Best.go:30
00:53:19.403 [ - ] Particion encontrada: &{212 8192 false 0} 	 ->Dinamicas.go:30
00:53:19.403 [ - ] Nuevas particiones: [{212 260 true 7} {260 8192 false 0}] 	 ->Dinamicas.go:64
00:53:19.403 [ - ] Particiones antes de agregar: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 204 true 5} {204 212 true 6} {212 8192 false 0}] 	 ->Dinamicas.go:65
00:53:19.403 [ - ] Particiones luego de agregar las nuevas: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 60 true 3} {60 188 true 4} {188 204 true 5} {204 212 true 6} {212 260 true 7} {260 8192 false 0}] 	 ->Dinamicas.go:70
00:53:19.403 [ - ] Se fracciono la particion Base: 212 Limite: 8192  	 ->Dinamicas.go:71
00:53:19.403 [ - ] Se asigno el proceso PID: < 7 > a la particion Base: 212 Limite 260 	 ->Dinamicas.go:82
